USING base

//Madness NPCs should value damage/debuffs/etc to allies and enemies equally
MULTIPLIER_DAMAGE_SELF_POS						1.0
MULTIPLIER_DAMAGE_SELF_NEG						1.0
MULTIPLIER_DAMAGE_ENEMY_POS						1.0
MULTIPLIER_DAMAGE_ENEMY_NEG						1.0
MULTIPLIER_DAMAGE_ALLY_POS						1.0
MULTIPLIER_DAMAGE_ALLY_NEG						1.0
MULTIPLIER_DAMAGE_NEUTRAL_POS					1.0
MULTIPLIER_DAMAGE_NEUTRAL_NEG					1.0

MULTIPLIER_HEAL_SELF_POS						1.0
MULTIPLIER_HEAL_SELF_NEG						1.0
MULTIPLIER_HEAL_ENEMY_POS						1.0
MULTIPLIER_HEAL_ENEMY_NEG						1.0
MULTIPLIER_HEAL_ALLY_POS						1.0
MULTIPLIER_HEAL_ALLY_NEG						1.0
MULTIPLIER_HEAL_NEUTRAL_POS						1.0
MULTIPLIER_HEAL_NEUTRAL_NEG						1.0

MULTIPLIER_DOT_SELF_POS							1.0
MULTIPLIER_DOT_SELF_NEG							1.0
MULTIPLIER_DOT_ENEMY_POS						1.0
MULTIPLIER_DOT_ENEMY_NEG						1.0
MULTIPLIER_DOT_ALLY_POS		 					1.0
MULTIPLIER_DOT_ALLY_NEG		 					1.0
MULTIPLIER_DOT_NEUTRAL_POS		 				1.0
MULTIPLIER_DOT_NEUTRAL_NEG		 				1.0

MULTIPLIER_HOT_SELF_POS							1.0
MULTIPLIER_HOT_SELF_NEG							1.0
MULTIPLIER_HOT_ENEMY_POS						1.0
MULTIPLIER_HOT_ENEMY_NEG						1.0
MULTIPLIER_HOT_ALLY_POS		 					1.0
MULTIPLIER_HOT_ALLY_NEG		 					1.0
MULTIPLIER_HOT_NEUTRAL_POS		 				1.0
MULTIPLIER_HOT_NEUTRAL_NEG		 				1.0

MULTIPLIER_CONTROL_SELF_POS		 				0.0
MULTIPLIER_CONTROL_SELF_NEG		 				0.0
MULTIPLIER_CONTROL_ENEMY_POS					0.0
MULTIPLIER_CONTROL_ENEMY_NEG					0.0
MULTIPLIER_CONTROL_ALLY_POS		 				0.0
MULTIPLIER_CONTROL_ALLY_NEG		 				0.0
MULTIPLIER_CONTROL_NEUTRAL_POS					0.0
MULTIPLIER_CONTROL_NEUTRAL_NEG					0.0

MULTIPLIER_BOOST_SELF_POS		 				1.0
MULTIPLIER_BOOST_SELF_NEG		 				1.0
MULTIPLIER_BOOST_ENEMY_POS		 				1.0
MULTIPLIER_BOOST_ENEMY_NEG		 				1.0
MULTIPLIER_BOOST_ALLY_POS		 				1.0
MULTIPLIER_BOOST_ALLY_NEG		 				1.0
MULTIPLIER_BOOST_NEUTRAL_POS					1.0
MULTIPLIER_BOOST_NEUTRAL_NEG					1.0

//Target multipliers shouldnt affect madness
MULTIPLIER_TARGET_MY_ENEMY						1.00
MULTIPLIER_TARGET_MY_HOSTILE					1.00
MULTIPLIER_TARGET_SUMMON						1.00
MULTIPLIER_TARGET_AGGRO_MARKED					1.00
MULTIPLIER_TARGET_HOSTILE_COUNT_ONE				1.00
MULTIPLIER_TARGET_HOSTILE_COUNT_TWO_OR_MORE		1.00
MULTIPLIER_TARGET_IN_SIGHT						1.05
MULTIPLIER_TARGET_INCAPACITATED					1.00
MULTIPLIER_TARGET_KNOCKED_DOWN					1.00
MULTIPLIER_TARGET_PREFERRED						20.00
MULTIPLIER_TARGET_UNPREFERRED					0.20
MULTIPLIER_TARGET_ENEMY_DOWNED 					0.15
MULTIPLIER_TARGET_ALLY_DOWNED 					0.15

//Kill mods should not apply
MULTIPLIER_KILL_ENEMY							1.0
MULTIPLIER_KILL_ENEMY_SUMMON					1.0
MULTIPLIER_KILL_ALLY							1.0
MULTIPLIER_KILL_ALLY_SUMMON						1.0

MULTIPLIER_SCORE_ON_NEUTRAL						1.0
MULTIPLIER_SCORE_ON_ALLY						1.0

//
MULTIPLIER_FIRST_ACTION_BUFF					1.0

//Madness targets dont care about AoO
ENABLE_MOVEMENT_AVOID_AOO						0.00

//Madness targets do not reason about hit chance
MODIFIER_HIT_CHANCE_STUPIDITY 					1.0

//Does not pick up weapons
WEAPON_PICKUP_MODIFIER 							0.0

//Does not reason about breaking concentration on targets
MODIFIER_CONCENTRATION_REMOVE_TARGET 0.0

MULTIPLIER_ENDPOS_FLANKED	                    0.0					
MULTIPLIER_ENDPOS_ENEMIES_NEARBY                0.0

MULTIPLIER_MOVEMENT_COST_MULTPLIER				10.00

//Ignore Auras
MULTIPLIER_POS_IN_AURA 							0.0
MODIFIER_OWN_AURA 								0.0
TURNS_CAP_AURASTATUS 							0.0
