//////////////////////////////////////////////////////////////////////////
// General Score mods

// Remaps all scores - where a score of SCORE_MOD is the average dmg of this character.
SCORE_MOD										100.0
BASE_NEARBY_SCORE								0.2

//////////////////////////////////////////////////////////////////////////
// Archetype modifiers
MULTIPLIER_DAMAGE_SELF_POS						1.0
MULTIPLIER_DAMAGE_SELF_NEG						1.0
MULTIPLIER_DAMAGE_ENEMY_POS						1.0
MULTIPLIER_DAMAGE_ENEMY_NEG						1.0
MULTIPLIER_DAMAGE_ALLY_POS						1.0
MULTIPLIER_DAMAGE_ALLY_NEG						4.0 // Damaging allies looks pretty stupid.
MULTIPLIER_DAMAGE_NEUTRAL_POS					1.0
MULTIPLIER_DAMAGE_NEUTRAL_NEG					1.50 //Avoid damaging neutrals where possible

MULTIPLIER_HEAL_SELF_POS						0.75 //We generally want AI damaging, not healing
MULTIPLIER_HEAL_SELF_NEG						1.0
MULTIPLIER_HEAL_ENEMY_POS						1.0
MULTIPLIER_HEAL_ENEMY_NEG						1.0
MULTIPLIER_HEAL_ALLY_POS						0.70 //Healing self is slightly prioritised over allies
MULTIPLIER_HEAL_ALLY_NEG						1.0
MULTIPLIER_HEAL_NEUTRAL_POS						1.0
MULTIPLIER_HEAL_NEUTRAL_NEG						1.0

MULTIPLIER_DOT_SELF_POS							1.0
MULTIPLIER_DOT_SELF_NEG							1.0
MULTIPLIER_DOT_ENEMY_POS						1.0
MULTIPLIER_DOT_ENEMY_NEG						1.0
MULTIPLIER_DOT_ALLY_POS		 					1.0
MULTIPLIER_DOT_ALLY_NEG		 					1.0
MULTIPLIER_DOT_NEUTRAL_POS		 				1.0
MULTIPLIER_DOT_NEUTRAL_NEG		 				1.0

MULTIPLIER_HOT_SELF_POS							1.0
MULTIPLIER_HOT_SELF_NEG							1.0
MULTIPLIER_HOT_ENEMY_POS						1.0
MULTIPLIER_HOT_ENEMY_NEG						1.0
MULTIPLIER_HOT_ALLY_POS		 					1.0
MULTIPLIER_HOT_ALLY_NEG		 					1.0
MULTIPLIER_HOT_NEUTRAL_POS		 				1.0
MULTIPLIER_HOT_NEUTRAL_NEG		 				1.0

MULTIPLIER_CONTROL_SELF_POS		 				1.0
MULTIPLIER_CONTROL_SELF_NEG		 				2.0 // Knocking yourself down or similar always looks stupid.
MULTIPLIER_CONTROL_ENEMY_POS					1.0
MULTIPLIER_CONTROL_ENEMY_NEG					1.0
MULTIPLIER_CONTROL_ALLY_POS		 				1.0
MULTIPLIER_CONTROL_ALLY_NEG		 				2.0	// Knocking down allies is pretty stupid...
MULTIPLIER_CONTROL_NEUTRAL_POS					1.0
MULTIPLIER_CONTROL_NEUTRAL_NEG					1.0

MULTIPLIER_BOOST_SELF_POS		 				1.0
MULTIPLIER_BOOST_SELF_NEG		 				1.0
MULTIPLIER_BOOST_ENEMY_POS		 				1.0
MULTIPLIER_BOOST_ENEMY_NEG		 				1.0
MULTIPLIER_BOOST_ALLY_POS		 				1.0
MULTIPLIER_BOOST_ALLY_NEG		 				1.0
MULTIPLIER_BOOST_NEUTRAL_POS					1.0
MULTIPLIER_BOOST_NEUTRAL_NEG					1.0

//////////////////////////////////////////////////////////////////////////
// Final Score MULTIPLIERS
// Used for when an action is free (0 AP cost)
MULTIPLIER_FREE_ACTION 							0.90
MULTIPLIER_MOVEMENT_COST_MULTPLIER				0.90 //Deprecated
MULTIPLIER_INVISIBLE_MOVEMENT_COST_MULTPLIER	0.30 //Deprecated
MULTIPLIER_COOLDOWN_MULTIPLIER					0.01
MULTIPLIER_LOW_ITEM_AMOUNT_MULTIPLIER			0.80
MULTIPLIER_HIGH_ITEM_AMOUNT_MULTIPLIER			1.00
MULTIPLIER_CANNOT_EXECUTE_THIS_TURN				0.20
MULTIPLIER_PLANNED_ACTION_WITH_MOVE_SPELL		1.50 // Used to boost the score of the action AI initially planned to do after using a move spell for it

// Used to scale effect of action's resource costs
MULTIPLIER_ACTION_RESOURCE_COST					0.01

// multiplier for how much characters want to interact with things like Exploding barrels
MULTIPLIER_USABLE_ITEM							1.00

// 0.0 here means AI will not avoid AoO
ENABLE_MOVEMENT_AVOID_AOO						1.00

//////////////////////////////////////////////////////////////////////////
// Target Selection MULTIPLIERS

MULTIPLIER_TARGET_MY_ENEMY						1.25 	//multiplier used if the target is the enemy of the source, e.g. because source attacked target before
MULTIPLIER_TARGET_MY_HOSTILE					1.50	//multiplier used if the source is the enemy of the target, e.g. because target attacked source before
MULTIPLIER_TARGET_SUMMON						0.50
MULTIPLIER_TARGET_AGGRO_MARKED					5.00
MULTIPLIER_TARGET_HOSTILE_COUNT_ONE				0.75
MULTIPLIER_TARGET_HOSTILE_COUNT_TWO_OR_MORE		0.50
MULTIPLIER_TARGET_IN_SIGHT						1.05
MULTIPLIER_TARGET_INCAPACITATED					1.00
MULTIPLIER_TARGET_KNOCKED_DOWN					1.25
MULTIPLIER_TARGET_PREFERRED						2.00
MULTIPLIER_TARGET_UNPREFERRED					0.50
MULTIPLIER_TARGET_HEALTH_BIAS					0.00	// How important the current HP of a target is (lower HP = higher score)
MULTIPLIER_TARGET_ENEMY_DOWNED 					0.10
MULTIPLIER_TARGET_ALLY_DOWNED 					1.10
MULTIPLIER_TARGET_NEUTRAL_DOWNED				1.00

//////////////////////////////////////////////////////////////////////////
// End Position MULTIPLIERS

MULTIPLIER_ENDPOS_ALLIES_NEARBY					0.00
ENDPOS_ALLIES_NEARBY_MIN_DISTANCE				1.90 // distance at which being any closer makes no difference
ENDPOS_ALLIES_NEARBY_MAX_DISTANCE				6.00 // ignore characters beyond this distance

MULTIPLIER_ENDPOS_ENEMIES_NEARBY				0.02
ENDPOS_ENEMIES_NEARBY_MIN_DISTANCE				1.90 // distance at which being any closer makes no difference
ENDPOS_ENEMIES_NEARBY_MAX_DISTANCE				6.00 // ignore characters beyond this distance

MULTIPLIER_ENDPOS_FLANKED						0.05
MULTIPLIER_ENDPOS_HEIGHT_DIFFERENCE				0.00
MULTIPLIER_ENDPOS_TURNED_INVISIBLE				0.01
MULTIPLIER_ENDPOS_NOT_IN_AIHINT					0.25
MULTIPLIER_ENDPOS_NOT_IN_SMOKE					0.00
MULTIPLIER_ENDPOS_NOT_IN_DANGEROUS_SURFACE		0.10

DANGEROUS_ITEM_NEARBY							0.00 // Scoring for dangerous items nearby a character

MULTIPLIER_ENEMY_HEIGHT_DIFFERENCE				0.002 // score for height relative to the highest enemy
ENEMY_HEIGHT_DIFFERENCE_CLAMP					5.00 // once AI is this much higher than all of its enemies there is no point in going higher
ENEMY_HEIGHT_SCORE_RADIUS_XZ					100.00 // radius of enemies to check heights

MAX_DISTANCE_TO_CLOSEST_ENEMY					25.0
MULTIPLIER_NO_ENEMIES_IN_MAX_DISTANCE			0.0001  // tiny score so only if there is nothing better to do then try getting closer

//////////////////////////////////////////////////////////////////////////
// Fallback Settings
MULTIPLIER_FALLBACK_ALLIES_NEARBY				0.00
FALLBACK_ALLIES_NEARBY_MIN_DISTANCE				1.90 // distance at which being any closer makes no difference
FALLBACK_ALLIES_NEARBY_MAX_DISTANCE				6.00 // ignore characters beyond this distance

MULTIPLIER_FALLBACK_ENEMIES_NEARBY				0.00
